2019-11-29 13:45:47 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:45:48 INFO  Server:26 - Client registered /127.0.0.1:52516
2019-11-29 13:45:50 INFO  Server:26 - Client registered /127.0.0.1:52550
2019-11-29 13:45:50 INFO  Server:33 - Client unregistered /127.0.0.1:52550
2019-11-29 13:50:06 INFO  Server:62 - Server started working...
2019-11-29 13:50:07 INFO  Server:48 - Sender started
2019-11-29 13:50:08 INFO  Client:62 - Client Client 1 started working
2019-11-29 13:50:10 INFO  Server:26 - Client registered /127.0.0.1:52661
2019-11-29 13:50:13 INFO  Client:62 - Client Client 0 started working
2019-11-29 13:50:15 INFO  Server:26 - Client registered /127.0.0.1:52699
2019-11-29 13:50:15 INFO  Server:33 - Client unregistered /127.0.0.1:52699
2019-11-29 13:50:36 INFO  Server:62 - Server started working...
2019-11-29 13:50:36 INFO  Server:48 - Sender started
2019-11-29 13:50:38 INFO  Client:62 - Client Client 2 started working
2019-11-29 13:50:40 INFO  Client:62 - Client Client 1 started working
2019-11-29 13:50:40 INFO  Server:26 - Client registered /127.0.0.1:52811
2019-11-29 13:50:42 INFO  Server:26 - Client registered /127.0.0.1:52845
2019-11-29 13:50:46 INFO  Server:60 - Message sanded
2019-11-29 13:50:46 INFO  Server:60 - Message sanded
2019-11-29 13:51:02 INFO  Server:62 - Server started working...
2019-11-29 13:51:03 INFO  Server:48 - Sender started
2019-11-29 13:51:04 INFO  Client:62 - Client Client 2 started working
2019-11-29 13:51:07 INFO  Client:62 - Client Client 0 started working
2019-11-29 13:51:07 INFO  Server:26 - Client registered /127.0.0.1:52956
2019-11-29 13:51:09 INFO  Server:26 - Client registered /127.0.0.1:52990
2019-11-29 13:51:13 INFO  Server:60 - Message sanded
2019-11-29 13:51:13 INFO  Server:60 - Message sanded
2019-11-29 13:51:23 INFO  Server:60 - Message sanded
2019-11-29 13:51:23 INFO  Server:60 - Message sanded
2019-11-29 13:51:26 INFO  Client:62 - Client Client 1 started working
2019-11-29 13:51:28 INFO  Server:26 - Client registered /127.0.0.1:53028
2019-11-29 13:51:33 INFO  Server:60 - Message sanded
2019-11-29 13:51:33 INFO  Server:60 - Message sanded
2019-11-29 13:51:43 INFO  Server:60 - Message sanded
2019-11-29 13:51:43 INFO  Server:60 - Message sanded
2019-11-29 13:51:53 INFO  Server:60 - Message sanded
2019-11-29 13:51:53 INFO  Server:60 - Message sanded
2019-11-29 13:52:03 INFO  Server:60 - Message sanded
2019-11-29 13:52:03 INFO  Server:60 - Message sanded
2019-11-29 16:26:56 INFO  Server:62 - Server started working...
2019-11-29 16:26:56 INFO  Server:48 - Sender started
2019-11-29 16:26:58 INFO  Client:62 - Client Client 2 started working
2019-11-29 16:27:00 INFO  Client:62 - Client Client 0 started working
2019-11-29 16:27:00 INFO  Server:26 - Client registered /127.0.0.1:53652
2019-11-29 16:27:02 INFO  Server:26 - Client registered /127.0.0.1:53686
2019-11-29 16:27:06 INFO  Server:60 - Message sanded
2019-11-29 16:27:06 INFO  Server:60 - Message sanded
2019-12-02 09:46:31 INFO  Server:62 - Server started working...
2019-12-02 09:46:32 INFO  Server:48 - Sender started
2019-12-02 09:46:36 INFO  Client:62 - Client Client 2 started working
2019-12-02 09:46:38 INFO  Client:62 - Client Client 0 started working
2019-12-02 09:46:39 INFO  Server:26 - Client registered /127.0.0.1:50302
2019-12-02 09:46:41 INFO  Client:62 - Client Client 2 started working
2019-12-02 09:46:41 INFO  Server:26 - Client registered /127.0.0.1:50340
2019-12-02 09:46:42 INFO  Server:60 - Message sanded
2019-12-02 09:46:42 INFO  Server:60 - Message sanded
2019-12-02 09:46:44 INFO  Server:26 - Client registered /127.0.0.1:50376
2019-12-02 09:46:52 INFO  Server:60 - Message sanded
2019-12-02 09:46:52 INFO  Server:60 - Message sanded
2019-12-02 09:47:02 INFO  Server:60 - Message sanded
2019-12-02 09:47:02 INFO  Server:60 - Message sanded
2019-12-02 11:38:18 INFO  Server:62 - Server started working...
2019-12-02 11:38:19 INFO  Server:48 - Sender started
2019-12-02 11:38:25 INFO  Client:62 - Client Client 1 started working
2019-12-02 11:38:27 INFO  Client:62 - Client Client 0 started working
2019-12-02 11:38:28 INFO  Server:26 - Client registered /127.0.0.1:51632
2019-12-02 11:38:30 INFO  Client:62 - Client Client 1 started working
2019-12-02 11:38:30 INFO  Server:26 - Client registered /127.0.0.1:51670
2019-12-02 11:38:30 INFO  Server:60 - Message sanded
2019-12-02 11:38:30 INFO  Server:60 - Message sanded
2019-12-02 11:38:32 INFO  Server:26 - Client registered /127.0.0.1:51704
2019-12-02 11:38:40 INFO  Server:60 - Message sanded
2019-12-02 11:38:40 INFO  Server:60 - Message sanded
2019-12-02 11:38:50 INFO  Server:60 - Message sanded
2019-12-02 11:38:50 INFO  Server:60 - Message sanded
2019-12-02 11:39:00 INFO  Server:60 - Message sanded
2019-12-02 11:39:00 INFO  Server:60 - Message sanded
2019-12-02 11:39:10 INFO  Server:60 - Message sanded
2019-12-02 11:39:10 INFO  Server:60 - Message sanded
